,PSNY,HarmlessError,ProsecutMisconduct,DocumentLength,DefendantRespondent,DefendantAppellant,File,DA,ADA,Judges,Crime,Defense,GroundsForAppeal,ModeOfConviction,Judge,Mode,Keywords
2017_03386,respondent,0,0,2076,0.0,1.0,2017_03386.htm.txt,John J. Flynn,Daniel J. Punch," Present-Whalen, P.J., Carni, NeMoyer, Curran and Troutman, JJ",attempted murder (three counts);assault (three counts);criminal possession weapon,Private,,plea of guilty,Penny M. Wolfgang,,affirmed
2017_03389,respondent,0,0,2990,0.0,1.0,2017_03389.htm.txt,Sandra Doorley,Nancy Gilligan," Present-Centra, J.P., Lindley, DeJoseph, NeMoyer and Scudder, JJ",risk pursuant to Sex Offender Registration Act,Public Defender,,,Christopher S. Ciaccio,,affirmed
2017_03390,respondent,0,0,1531,0.0,1.0,2017_03390.htm.txt,"Michael J. Flaherty, Jr.",David A. Heraty," Present-Centra, J.P., Lindley, DeJoseph, NeMoyer and Scudder, JJ",manslaughter,Private,,plea of guilty,Christopher J. Burns,,affirmed
2017_03391,respondent,0,0,1520,0.0,1.0,2017_03391.htm.txt,Jeffrey S. Carpenter,Jacquelyn M. Asnoe," Present-Centra, J.P., Lindley, DeJoseph, NeMoyer and Scudder, JJ",burglary,Private,,plea of guilty,John H. Crandall,,affirmed
2017_03392,respondent,0,0,953,0.0,1.0,2017_03392.htm.txt,Sandra Doorley,Stephen X. O'Brien," Present-Centra, J.P., Lindley, DeJoseph, NeMoyer and Scudder, JJ",criminal possession weapon,Public Defender,,plea of guilty,Daniel J. Doyle,,affirmed
2017_03393,respondent,0,0,1924,0.0,1.0,2017_03393.htm.txt,Sandra Doorley,Nancy Gilligan," Present-Centra, J.P., Lindley, DeJoseph, NeMoyer and Scudder, JJ",assault,Conflict Defender,,plea of guilty,Vincent M. Dinolfo,,affirmed
2017_03394,respondent,0,0,3514,0.0,1.0,2017_03394.htm.txt,Sandra Doorley,Leah R. Mervine," Present-Centra, J.P., Lindley, DeJoseph, NeMoyer and Scudder, JJ",criminal possession weapon,Private,,plea of guilty,Douglas A. Randall,,affirmed
2017_03401,respondent,0,0,2101,0.0,1.0,2017_03401.htm.txt,Sandra Doorley,Stephen X. O'Brien," Present-Whalen, P.J., Smith, Centra, Peradotto and Scudder, JJ",criminal possession forged instrument (two counts),Public Defender,,plea of guilty,James J. Piampiano,,affirmed
2017_03402,respondent,0,0,2572,0.0,1.0,2017_03402.htm.txt,John J. Flynn,Julie Bender Fiske," Present-Whalen, P.J., Smith, Centra, Peradotto and Scudder, JJ",grand larceny (10 counts);scheme to defraud,Private,,plea of guilty,Michael F. Pietruszka,,affirmed
2017_03403,respondent,0,0,1034,0.0,1.0,2017_03403.htm.txt,John J. Flynn,Julie Bender Fiske," Present-Whalen, P.J., Smith, Centra, Peradotto and Scudder, JJ",scheme to defraud (two counts);grand larceny;count each grand larceny,Private,,plea of guilty,Michael F. Pietruszka,,affirmed
2017_03407,respondent,0,0,3869,0.0,1.0,2017_03407.htm.txt,,Eric R. Schiener," Present-Carni, J.P., Lindley, DeJoseph, Curran and Troutman, JJ",attempted assault (two counts),Public Defender,,plea of guilty,Michael M. Mohun,,reversed
2017_03408,respondent,0,0,1980,0.0,1.0,2017_03408.htm.txt,Lori Pettit Rieman,," Present-Carni, J.P., Lindley, DeJoseph, Curran and Troutman, JJ",criminal facilitation,Private,,plea of guilty,Ronald D. Ploetz,,reversed
2017_03409,respondent,0,0,2482,0.0,1.0,2017_03409.htm.txt,Sandra Doorley,," Present-Carni, J.P., Lindley, DeJoseph, Curran and Troutman, JJ",assault;false personation;resisting arrest,Private,,jury verdict,Alex R. Renzi,,affirmed
2017_03422,respondent,0,0,444,0.0,1.0,2017_03422.htm.txt,,," Present-Whalen, P.J., Smith, Centra, Peradotto and Curran, JJ",,Private,,,,,
2017_03423,respondent,0,0,444,0.0,1.0,2017_03423.htm.txt,,," Present-Whalen, P.J., Peradotto, Lindley, Troutman and Scudder, JJ",,Private,,,,,
2017_03424,respondent,0,0,452,0.0,1.0,2017_03424.htm.txt,,," Present-Whalen, P.J., Smith, NeMoyer, Curran and Troutman, JJ",,Private,,,,,
2017_03425,respondent,0,0,450,0.0,1.0,2017_03425.htm.txt,,," Present-Centra, J.P., Peradotto, Lindley, NeMoyer and Curran, JJ",,Private,,,,,
2017_03426,respondent,0,0,453,0.0,1.0,2017_03426.htm.txt,,," Present-Smith, J.P., Peradotto, Curran, Troutman and Scudder, JJ",,Private,,,,,
2017_03427,respondent,0,0,448,0.0,1.0,2017_03427.htm.txt,,," Present-Whalen, P.J., Centra, Peradotto, Carni and NeMoyer, JJ",,Private,,,,,
2017_03428,respondent,0,0,453,0.0,1.0,2017_03428.htm.txt,,," Present-Centra, J.P., Carni, Lindley, Curran and Scudder, JJ",,Private,,,,,
2017_03436,respondent,0,0,1101,0.0,1.0,2017_03436.htm.txt,,,"      Motion for reargument granted in part and, upon reargument, the memorandum and order entered February 10, 2017 (147 AD3d 1471 [2017]) is amended by deleting the fourth sentence of the second paragraph of the memorandum, and by deleting the first sentence of the second paragraph of the memorandum, and replacing the first sentence with the following sentence: ""We conclude, however, that the error is harmless inasmuch as the evidence of defendant's guilt is overwhelming, and there is no reasonable possibility that the admission of the text messages might have contributed to defendant's conviction (see generally People v Crimmins, 36 NY2d 230, 237 [1975])."" Present-Smith, J.P., DeJoseph, NeMoyer, Troutman and Scudder, JJ","DeJoseph;Troutman;237 [1975])."" Present—Smith;ion (see generally People v Crimmins;Scudder;JJ;J.P.;36 NY2d 230;NeMoyer",Private,,,,,
2017_03441,respondent,0,0,644,0.0,1.0,2017_03441.htm.txt,,," Present-Whalen, P.J., Carni, NeMoyer, Curran and Troutman, JJ",,Private,,,,,affirmed
2017_03447,respondent,0,0,1056,0.0,1.0,2017_03447.htm.txt,,," Concur-Acosta, J.P., Andrias, Moskowitz, Gische and Webber, JJ",,Private,,,Thomas Farber,,
2017_03448,respondent,0,0,1173,0.0,1.0,2017_03448.htm.txt,,," Concur-Renwick, J.P., Richter, Andrias and Gesmer, JJ",,Private,,,"Robert Straus, Gregory Carro, Daniel P. ...",,
2017_03453,respondent,0,0,1212,0.0,1.0,2017_03453.htm.txt,Darcel D. Clark,Dmitriy Povazhuk," Concur-Acosta, J.P., Mazzarelli, Manzanet-Daniels and Webber, JJ",burglary;;unanimously modified;to extent reducing prison component sentence for weapon conviction to years;sentencing him to an aggregate term seven years;otherwise affirmed;as matter discretion interest justice;ing defendant;upon his pleas guilty;attempted criminal possession weapon,Private,,,John Moore,,reversed
2017_03456,respondent,0,0,1968,0.0,1.0,2017_03456.htm.txt,"Cyrus R. Vance, Jr.",Lee M. Pollack," Concur-Acosta, J.P., Mazzarelli, Manzanet-Daniels and Webber, JJ",unanimously affirmed;attempted criminal sale controlled substance,Legal Aid Society,,,A. Kirke Bartley, J.,affirmed
2017_03457,respondent,0,0,996,0.0,1.0,2017_03457.htm.txt,Darcel D. Clark,Nancy D. Killian," Concur-Acosta, J.P., Mazzarelli, Manzanet-Daniels and Webber, JJ",,Private,,,Ralph Fabrizio,,affirmed
2017_03459,respondent,0,0,1534,0.0,1.0,2017_03459.htm.txt,,," Concur-Acosta, J.P., Mazzarelli, Manzanet-Daniels and Webber, JJ",,Legal Aid Society,,,Richard D. Carruthers,,affirmed
2017_03460,respondent,0,0,1915,0.0,1.0,2017_03460.htm.txt,"Cyrus R. Vance, Jr.",Oliver McDonald," Concur-Acosta, J.P., Mazzarelli, Manzanet-Daniels and Webber, JJ",unanimously affirmed;sentencing her to years' probation;ing defendant criminal possession controlled substance,Legal Aid Society,,,"Daniel P. FitzGerald, Marcy L. Kahn",,affirmed
2017_03461,respondent,0,0,1570,0.0,1.0,2017_03461.htm.txt,"Cyrus R. Vance, Jr.",Ross D. Mazer," ."" (CPL 100.40 [1] [b].) Concur-Acosta, J.P., Mazzarelli, Manzanet-Daniels and Webber, JJ",criminal contempt;unanimously affirmed;sentencing him to time served,Legal Aid Society,,plea of guilty,Daniel McCullough,,affirmed
2017_03462,respondent,0,0,1016,0.0,1.0,2017_03462.htm.txt,"Cyrus R. Vance, Jr.",John T. Hughes," Concur-Acosta, J.P., Mazzarelli, Manzanet-Daniels and Webber, JJ",,Legal Aid Society,,,Ronald Zweibel,,affirmed
2017_03527,respondent,0,0,2653,0.0,1.0,2017_03527.htm.txt,Thomas P. Zugibe,Itamar J. Yeger," Rivera, J.P., Hall, LaSalle and Connolly, JJ",imposing sentence,Private,,plea of guilty,Kelly,,
2017_03528,respondent,0,0,3310,0.0,1.0,2017_03528.htm.txt,Robert Tendy,," Rivera, J.P., Chambers, Duffy and Barros, JJ",imposing sentence,Private,,jury verdict,Rooney,,affirmed
2017_03529,respondent,0,0,1201,0.0,1.0,2017_03529.htm.txt,Richard A. Brown,," Dillon, J.P., Sgroi, Cohen and Miller, JJ",,Private,ineffective assistance,,,,
2017_03530,respondent,0,0,1203,0.0,1.0,2017_03530.htm.txt,Richard A. Brown,," Dillon, J.P., Sgroi, Cohen and Miller, JJ",,Private,ineffective assistance,,,,
2017_03531,respondent,0,0,3044,0.0,1.0,2017_03531.htm.txt,Madeline Singas,," Dillon, J.P., Chambers, Sgroi, Maltese and Barros, JJ",imposing sentence,Private,,plea of guilty,"Berkowitz, Quinn"," at plea, at sentence",
2017_03532,respondent,0,0,1913,0.0,1.0,2017_03532.htm.txt,Thomas J. Spota,Caren C. Manzello," Balkin, J.P., Austin, Sgroi and LaSalle, JJ",imposing sentence,Private,,plea of guilty,Crecca,,affirmed
2017_03533,respondent,0,0,4074,0.0,1.0,2017_03533.htm.txt,Madeline Singas,," Rivera, J.P., Hall, LaSalle and Connolly, JJ",imposing sentence,Private,,jury verdict,Delligatti,,affirmed
2017_03534,respondent,0,0,1504,0.0,1.0,2017_03534.htm.txt,,," Rivera, J.P., Balkin, Barros and Brathwaite Nelson, JJ",imposing sentence,Private,,nonjury trial,Gary,,affirmed
2017_03535,respondent,0,0,3689,0.0,1.0,2017_03535.htm.txt,,," Dillon, J.P., Roman, Cohen and Miller, JJ",imposing sentence,Private,,jury verdict,Ozzi,,affirmed
2017_03536,respondent,0,0,1554,0.0,1.0,2017_03536.htm.txt,,," Balkin, J.P., Miller, Duffy, LaSalle and Brathwaite Nelson, JJ",imposing sentence;to criminal possession weapon,Private,,plea of guilty,Gubbay,,affirmed
2017_03537,respondent,0,0,2460,0.0,1.0,2017_03537.htm.txt,Madeline Singas,," Balkin, J.P., Austin, LaSalle and Brathwaite Nelson, JJ",imposing sentence,Private,,plea of guilty,Donnino,,affirmed
2017_03538,respondent,0,0,3721,0.0,1.0,2017_03538.htm.txt,,," Dillon, J.P., Balkin, Austin and Connolly, JJ",imposing sentence,Private,,jury verdict,Guzman,,affirmed
2017_03539,respondent,0,0,4899,0.0,1.0,2017_03539.htm.txt,,," Mastro, J.P., Sgroi, Maltese and Duffy, JJ",imposing sentence,Private,,jury verdict,Tomei,,affirmed
2017_03540,respondent,0,0,3863,0.0,1.0,2017_03540.htm.txt,"Anthony A. Scarpino, Jr.",," Balkin, J.P., Cohen, Hinds-Radix and Maltese, JJ",imposing sentence,Private,,plea of guilty,Zambelli,,affirmed
2017_03541,respondent,0,0,920,0.0,1.0,2017_03541.htm.txt,William V. Grady,Bridget Rahilly Steller," Eng, P.J., Hall, Cohen, LaSalle and Connolly, JJ",,Private,,,Greller,,affirmed
2017_03542,respondent,0,0,1263,0.0,1.0,2017_03542.htm.txt,,," Eng, P.J., Dillon, Sgroi, Maltese and Barros, JJ",on ground that sentence is excessive,Private,,plea of guilty,Murphy,,affirmed
2017_03543,respondent,0,0,3030,0.0,1.0,2017_03543.htm.txt,David M. Hoovler,Andrew R. Kass," Dillon, J.P., Chambers, Sgroi, Maltese and Barros, JJ",criminal mischief,Private,,,De Rosa,,
2017_03544,respondent,0,0,4393,0.0,1.0,2017_03544.htm.txt,Richard A. Brown,," Chambers, J.P., Hall, Maltese and Brathwaite Nelson, JJ",risk pursuant to Sex Offender Registration Act,Private,,,Margulis,,affirmed
2017_03545,respondent,0,0,3512,0.0,1.0,2017_03545.htm.txt,Madeline Singas,," Mastro, J.P., Sgroi, Maltese and Duffy, JJ",risk pursuant to Sex Offender Registration Act,Private,,,Delligatti,,reversed
2017_03562,respondent,0,0,15479,0.0,1.0,2017_03562.htm.txt,,," and Mulvey, JJ",ing defendant crimes conspiracy;criminal possession controlled substance;criminal sale controlled substance (seven counts);criminal sale controlled substance (two counts);criminal possession controlled substance (six counts),Private,,,Herrick,,reversed
2017_03563,respondent,0,0,7576,0.0,1.0,2017_03563.htm.txt,Mary E. Rain,Matthew L. Peabody,"  Egan Jr., Lynch, Devine and Clark, JJ",without hearing;which denied defendant's motion pursuant to CPL 440.10 to vacate judgment conviction;(2) by permission;2016;crime robbery;entered February 5;from an order said court,Private,ineffective assistance,plea of guilty,Richards,,affirmed
2017_03564,respondent,0,0,3078,0.0,1.0,2017_03564.htm.txt,P. David Soares,Brittany L. Grome,"  Peters, P.J., Egan Jr., Mulvey and Aarons, JJ",crime robbery,Private,ineffective assistance,plea of guilty,Herrick,,affirmed
2017_03565,respondent,0,0,4130,0.0,1.0,2017_03565.htm.txt,Matthew Van Houten,Alysandra Stanczak," and Mulvey, JJ",criminal contempt (two counts);crimes criminal sexual act;attempted criminal possession weapon,Private,insufficient,plea of guilty,Rowley,,affirmed
2017_03566,respondent,0,0,5605,0.0,1.0,2017_03566.htm.txt,William G. Gabor,Robert A. Mascari,"  Peters, P.J., Garry, Devine and Aarons, JJ",crime rape,Private,,plea of guilty,McDermott,,affirmed
2017_03567,respondent,0,0,3359,0.0,1.0,2017_03567.htm.txt,P. David Soares,Brittany L. Grome,"  Peters, P.J., Garry, Devine and Mulvey, JJ",crime attempted criminal sale controlled substance,Private,,plea of guilty,Herrick,,affirmed
2017_03568,respondent,0,0,4506,0.0,1.0,2017_03568.htm.txt,Robert M. Carney,Tracey A. Brunecz,"  McCarthy, J.P., Egan Jr., Rose and Mulvey, JJ",crime assault,Private,,plea of guilty,Loyola,,affirmed
2017_03569,respondent,0,0,8166,0.0,1.0,2017_03569.htm.txt,P. David Soares,Emily A. Schultz,"  Peters, P.J., Egan Jr., Mulvey and Aarons, JJ",ing defendant crimes strangulation (three counts);assault;rape;unlawful imprisonment,Private,insufficient,,Lynch,,reversed
2017_03570,respondent,0,0,3182,0.0,1.0,2017_03570.htm.txt,J. Anthony Jordon,Sara E. Fischer,"  Garry, J.P., Lynch, Rose and Aarons, JJ",crime aggravated criminal contempt,Private,,plea of guilty,McKeighan,,affirmed
2017_03571,respondent,0,0,2082,0.0,1.0,2017_03571.htm.txt,D. Holley Carnright,Clifford P. Owens,"  McCarthy, Egan Jr., Mulvey and Aarons, JJ",crime criminal possession controlled substance,Private,,plea of guilty,Williams,,affirmed
2017_03572,respondent,0,0,2785,0.0,1.0,2017_03572.htm.txt,D. Holley Carnright,Joan Gudesblatt Lamb,"  McCarthy, J.P., Lynch, Devine and Clark, JJ",crime criminal possession controlled substance seventh (two counts),Private,,plea of guilty,Williams Jr.,,reversed
2017_03573,respondent,0,0,2553,0.0,1.0,2017_03573.htm.txt,Robert M. Carney,Tracey A. Brunecz,"  McCarthy, Egan Jr., Mulvey and Aarons, JJ",crime criminal contempt (two counts),Private,,plea of guilty,Loyola,,affirmed
2017_03574,respondent,0,0,3613,0.0,1.0,2017_03574.htm.txt,John M. Muehl,Michael F. Getman,"  Garry, Devine, Mulvey and Aarons, JJ",crime criminal sale controlled substance,Private,,plea of guilty,Lambert,,affirmed
2017_03575,respondent,0,0,2938,0.0,1.0,2017_03575.htm.txt,Mary E. Rain,Matthew L. Peabody,"  McCarthy, J.P., Egan Jr., Lynch and Clark, JJ",crime driving while intoxicated,Private,,plea of guilty,Richards,,affirmed
2017_03592,respondent,0,0,1883,0.0,1.0,2017_03592.htm.txt,,," Concur-Tom, J.P., Richter, Mazzarelli and Gische, JJ",motion by assigned counsel to be relieved denied without prejudice to renewal pending further information from assigned counsel as to her communications with defendant regarding his appeal;held abeyance;ing defendant criminal possession stolen property;as felony offender;sentencing him;to term 11/2 to 3 years,Legal Aid Society,,,"Rena K. Uviller, Robert M. Stolz",,
2017_03596,respondent,0,0,2716,0.0,1.0,2017_03596.htm.txt,"Cyrus R. Vance, Jr.",Stephen J. Kress," Concur-Acosta, J.P., Renwick, Manzanet-Daniels, Kapnick and Webber, JJ",unanimously affirmed;sentencing her to term months;criminal possession controlled substance seventh,Private,,plea of guilty,Ronald A. Zweibel,,affirmed
2017_03597,respondent,0,0,2853,0.0,1.0,2017_03597.htm.txt,"Cyrus R. Vance, Jr.",Grace Vee," Concur-Sweeny, J.P., Gische, Kahn and Gesmer, JJ",unanimously affirmed;after jury trial;as violent felony offender;to an aggregate term years;resisting arrest;assault;ing defendant;sentencing him,Private,,,Maxwell Wiley,,affirmed
2017_03601,respondent,0,0,2335,0.0,1.0,2017_03601.htm.txt,"Cyrus R. Vance, Jr.",Megan DeMarco," Concur-Sweeny, J.P., Gische, Kahn and Gesmer, JJ",unanimously affirmed;after jury trial;as violent felony offender;robbery (two counts);robbery;to an aggregate term 20 years;burglary (two counts);ing defendant;sentencing him,Private,ineffective assistance,,Renee A. White,,affirmed
2017_03604,respondent,0,0,1081,0.0,1.0,2017_03604.htm.txt,Darcel D. Clark,William Terrell III," Concur-Sweeny, J.P., Gische, Kahn and Gesmer, JJ",,Legal Aid Society,,,"Alvin Yearwood, Raymond L. Bruce"," at plea, re-plea and resentencing",affirmed
2017_03608,respondent,0,0,2276,0.0,1.0,2017_03608.htm.txt,Darcel D. Clark,Justin J. Braun," Concur-Sweeny, J.P., Gische, Kahn and Gesmer, JJ",unanimously affirmed;after jury trial;criminal possession controlled substance seventh;robbery;criminal possession weapon;ing defendant;as felony offender;sentencing him;to an aggregate term 15 years;unlawful fleeing police officer motor vehicle,Private,,,Ralph Fabrizio,,affirmed
2017_03609,respondent,0,0,1761,0.0,1.0,2017_03609.htm.txt,"Cyrus R. Vance, Jr.",Kelly L. Smith," Concur-Sweeny, J.P., Gische, Kahn and Gesmer, JJ",sentencing him to determinate term 11/2 to 41/2 years;after jury trial;unanimously affirmed;ing defendant;promoting prison contraband,Legal Aid Society,,,,,affirmed
2017_03611,respondent,0,0,1023,0.0,1.0,2017_03611.htm.txt,"Cyrus R. Vance, Jr.",Sabrina Margaret Bierer," Concur-Sweeny, J.P., Renwick, Gische and Gesmer, JJ",,Private,,,Marcy L. Kahn,,affirmed
2017_03612,respondent,0,0,1013,0.0,1.0,2017_03612.htm.txt,"Cyrus R. Vance, Jr.",Oliver McDonald," Concur-Sweeny, J.P., Gische, Kahn and Gesmer, JJ",,Private,,,Charles H. Solomon,,affirmed
2017_03615,respondent,0,0,2393,0.0,1.0,2017_03615.htm.txt,"Cyrus R. Vance, Jr.",Jessica Olive," Concur-Richter, J.P., Andrias, Moskowitz, Feinman and Kapnick, JJ",same court (Arlene Goldberg;at plea; Laura A;J.;ion,Private,ineffective assistance,,Laura A. Ward,,affirmed
2017_03616,respondent,0,0,1026,0.0,1.0,2017_03616.htm.txt,"Cyrus R. Vance, Jr.",Yan Slavinskiy," Concur-Richter, J.P., Andrias, Moskowitz, Feinman and Kapnick, JJ",,Legal Aid Society,,,Michael R. Sonberg,,affirmed
2017_03621,respondent,0,0,1521,0.0,1.0,2017_03621.htm.txt,,," Concur-Richter, J.P., Andrias, Moskowitz, Feinman and Kapnick, JJ",,Legal Aid Society,,,Jill Konviser,,affirmed
2017_03623,respondent,0,0,1052,0.0,1.0,2017_03623.htm.txt,"Cyrus R. Vance, Jr.",Luis Morales," Concur-Richter, J.P., Andrias, Moskowitz, Feinman and Kapnick, JJ",,Private,,,Daniel Conviser,,affirmed
2017_03632,respondent,0,0,7323,0.0,1.0,2017_03632.htm.txt,William J. Fitzpatrick,Victoria M. White," Present-Whalen, P.J., Peradotto, Carni and Lindley, JJ",manslaughter (Penal Law § 125.20 [1]),Legal Aid Society,insufficient,plea of guilty,William D. Walsh,,reversed
2017_03634,respondent,0,0,6598,0.0,1.0,2017_03634.htm.txt,Sandra Doorley,Leah R. Mervine," Present-Whalen, P.J., Smith, Centra, Curran and Scudder, JJ",assault,Public Defender,,jury verdict,Alex R. Renzi,,reversed
2017_03637,respondent,0,0,6220,0.0,1.0,2017_03637.htm.txt,William J. Fitzpatrick,Victoria M. White," Present-Whalen, P.J., Lindley, NeMoyer, Curran and Troutman, JJ",assault;criminal possession weapon (two counts),Private,insufficient,jury verdict,John J. Brunetti,,reversed
2017_03638,respondent,0,0,11312,0.0,1.0,2017_03638.htm.txt,Lori Pettit Rieman,Amber L. Kerling," Present-Whalen, P.J., Smith, Centra, Troutman and Scudder, JJ",assault;rape;unlawful imprisonment;strangulation,Private,insufficient,jury verdict,Ronald D. Ploetz,,reversed
2017_03640,respondent,0,0,2992,0.0,1.0,2017_03640.htm.txt,Sandra Doorley,Leah R. Mervine," Present-Whalen, P.J., Lindley, DeJoseph, NeMoyer and Curran, JJ",robbery,Public Defender,,plea of guilty,Melchor E. Castro,,affirmed
2017_03643,respondent,0,0,4246,0.0,1.0,2017_03643.htm.txt,,Joshua J. Tonra," Present-Smith, J.P., Carni, DeJoseph, NeMoyer and Troutman, JJ",criminal sale controlled substance,Conflict Defender,,plea of guilty,Robert B. Wiggins,,reversed
2017_03649,respondent,0,0,3454,0.0,1.0,2017_03649.htm.txt,Sandra Doorley,Kelly Christine Wolford," Present-Centra, J.P., Peradotto, Lindley, Curran and Scudder, JJ",attempted criminal possession weapon,Public Defender,,plea of guilty,Victoria M. Argento,,affirmed
2017_03650,respondent,0,0,3949,0.0,1.0,2017_03650.htm.txt,Sandra Doorley,Daniel Gross," Present-Centra, J.P., Peradotto, Lindley, Curran and Scudder, JJ",assault;attempted robbery,Conflict Defender,,jury verdict,Thomas E. Moran,,affirmed
2017_03657,respondent,0,0,7569,0.0,1.0,2017_03657.htm.txt,John J. Flynn,Matthew B. Powers," Present-Peradotto, J.P., Carni, Lindley, Troutman and Scudder, JJ",murder,Private,misconduct,jury verdict,Thomas P. Franczyk,,affirmed
2017_03658,respondent,0,0,8867,0.0,1.0,2017_03658.htm.txt,Sandra Doorley,Daniel Gross," Present-Peradotto, J.P., Carni, Lindley, Troutman and Scudder, JJ",robbery,Public Defender,,jury verdict,Douglas A. Randall,,
2017_03666,respondent,0,0,9955,0.0,1.0,2017_03666.htm.txt,Sandra Doorley,Nancy Gilligan," Present-Centra, J.P., Lindley, DeJoseph, NeMoyer and Scudder, JJ",assault,Public Defender,misconduct,jury verdict,Alex R. Renzi,,affirmed
2017_03667,respondent,0,0,5309,0.0,1.0,2017_03667.htm.txt,John J. Flynn,David A. Heraty," Present-Centra, J.P., Lindley, DeJoseph, NeMoyer and Scudder, JJ",robbery (four counts);grand larceny,Private,,jury verdict,Thomas P. Franczyk,,affirmed
2017_03670,respondent,0,0,1874,0.0,1.0,2017_03670.htm.txt,Lawrence Friedman,Shirley A. Gorman," Present-Whalen, P.J., Smith, Centra, Peradotto and Scudder, JJ",criminal contempt,Private,,plea of guilty,Robert C. Noonan,,affirmed
2017_03675,respondent,0,0,3433,0.0,1.0,2017_03675.htm.txt,Sandra Doorley,Nancy Gilligan," Present-Carni, J.P., Lindley, DeJoseph, Curran and Troutman, JJ",risk pursuant to Sex Offender Registration Act,Public Defender,,,John L. DeMarco,,affirmed
2017_03676,respondent,0,0,2163,0.0,1.0,2017_03676.htm.txt,Lawrence Friedman,William G. Zickl," Present-Carni, J.P., Lindley, DeJoseph, Curran and Troutman, JJ",robbery,Private,,plea of guilty,Robert C. Noonan,,affirmed
2017_03679,respondent,0,0,3399,0.0,1.0,2017_03679.htm.txt,Gregory S. Oakes,Amy L. Hallenbeck," Present-Smith, J.P., Peradotto, DeJoseph, NeMoyer and Curran, JJ","1626 [2016]);ed making its determination' "" (People v Davis;145 AD3d 1625",Private,misconduct,,Donald E. Todd,,affirmed
2017_03680,respondent,0,0,2703,0.0,1.0,2017_03680.htm.txt,Sandra Doorley,Nancy Gilligan," Present-Smith, J.P., Peradotto, DeJoseph, NeMoyer and Curran, JJ",ion,Public Defender,,,Joanne M. Winslow,,affirmed
2017_03681,respondent,0,0,3522,0.0,1.0,2017_03681.htm.txt,William J. Fitzpatrick,James P. Maxwell," Present-Smith, J.P., Peradotto, DeJoseph, NeMoyer and Curran, JJ",murder;criminal possession weapon,Legal Aid Society,misconduct,jury verdict,Joseph E. Fahey,,affirmed
2017_03682,respondent,0,0,3163,0.0,1.0,2017_03682.htm.txt,Joseph V. Cardone,Katherine Bogan," Present-Smith, J.P., Peradotto, DeJoseph, NeMoyer and Curran, JJ",attempted assault,Private,,plea of guilty,James P. Punch,,affirmed
2017_03694,respondent,0,0,1030,0.0,1.0,2017_03694.htm.txt,"Cyrus R. Vance, Jr.",Katherine Kulkarni," Concur-Acosta, J.P., Renwick, Mazzarelli, Gische and Gesmer, JJ",,Legal Aid Society,,,Edward J. McLaughlin,,affirmed
2017_03698,respondent,0,0,2589,0.0,1.0,2017_03698.htm.txt,"Cyrus R. Vance, Jr.",Lee M. Pollack," Concur-Acosta, J.P., Renwick, Mazzarelli, Gische and Gesmer, JJ",sentencing him to concurrent terms 10 years;unanimously affirmed;criminal possession weapon;attempted murder,Private,,plea of guilty,Edward J. McLaughlin,,affirmed
2017_03701,respondent,0,0,2524,0.0,1.0,2017_03701.htm.txt,"Cyrus R. Vance, Jr.",Brian R. Pouliot," Concur-Acosta, J.P., Renwick, Mazzarelli, Gische and Gesmer, JJ",unanimously affirmed;after jury trial;resisting arrest;assault;ing defendant;sentencing him to an aggregate term years,Private,ineffective assistance,,Daniel P. Conviser,,affirmed
2017_03705,respondent,0,0,2716,0.0,1.0,2017_03705.htm.txt,"Cyrus R. Vance, Jr.",Sylvia Wertheimer," Concur-Acosta, J.P., Renwick, Mazzarelli, Gische and Gesmer, JJ",attempted petit larceny;unanimously affirmed;attempted possession stolen property;sentencing him to concurrent terms 45 days,Legal Aid Society,,nonjury trial,Robert M. Stolz,,affirmed
2017_03763,respondent,0,0,2499,0.0,1.0,2017_03763.htm.txt,Madeline Singas,," Rivera, J.P., Chambers, Duffy and Barros, JJ",imposing sentence,Private,,plea of guilty,"O'Reilly, O'Brien"," at plea, at sentence",affirmed
2017_03764,respondent,0,0,5371,0.0,1.0,2017_03764.htm.txt,,," Dillon, J.P., Roman, Cohen and Miller, JJ",imposing sentence,Private,,jury verdict,Cyrulnik,,affirmed
2017_03765,respondent,0,0,3191,0.0,1.0,2017_03765.htm.txt,Richard A. Brown,," Balkin, J.P., Cohen, Hinds-Radix and Maltese, JJ",imposing sentence,Private,,nonjury trial,Lewis,,affirmed
2017_03766,respondent,0,0,1102,0.0,1.0,2017_03766.htm.txt,,Morrie I. Kleinbart," Hall, J.P., Sgroi, Maltese and LaSalle, JJ",,Private,ineffective assistance,,,,
2017_03767,respondent,0,0,8486,0.0,1.0,2017_03767.htm.txt,,," Dillon, J.P., Austin, Hinds-Radix and Maltese, JJ",imposing sentence,Private,misconduct,jury verdict,Marrus,,affirmed
2017_03768,respondent,0,0,1716,0.0,1.0,2017_03768.htm.txt,,," Mastro, J.P., Leventhal, Hall and Sgroi, JJ",imposing sentence,Private,,jury verdict,Dowling,,affirmed
2017_03769,respondent,0,0,11569,0.0,1.0,2017_03769.htm.txt,Richard A. Brown,," Mastro, J.P., Leventhal, Hall and Sgroi, JJ",imposing sentence,Private,misconduct,jury verdict,Holder,,reversed
2017_03770,respondent,0,0,2790,0.0,1.0,2017_03770.htm.txt,Thomas J. Spota,Grazia DiVincenzo," Chambers, J.P., Hall, Maltese and Brathwaite Nelson, JJ",imposing sentence,Private,insufficient,plea of guilty,Toomey,,
